id,expression,meaning,example_en,example_ja
601,backburner,後回し,Let’s put it on the backburner.,それは後回しにしよう。
602,ballpark,だいたいの範囲,Give me a ballpark number.,だいたいの数字でいいから教えて。
603,bandwidth,余裕, I don’t have the bandwidth for that.,それをやる余裕がない。
604,blind spot,見落とし,That was a blind spot for me.,そこは見落としてた。
605,blow up,大問題になる,It blew up on social media.,SNSで大問題になった。
606,bounce back,立ち直る,He bounced back quickly.,彼はすぐ立ち直った。
607,brush it off,気にしない,Just brush it off.,気にしないで。
608,call it quits,終わりにする,We decided to call it quits.,終わりにすることにした。
609,carry weight,説得力がある,That argument carries weight.,その主張には説得力がある。
610,change of heart,気が変わる,I had a change of heart.,気が変わった。
611,clear the air,誤解を解く,We should clear the air.,誤解を解こう。
612,come in clutch,助けになる,You came in clutch.,助かったよ。
613,come off as,〜の印象を与える,It comes off as rude.,失礼に聞こえる。
614,crack down,取り締まる,They cracked down on it.,それを取り締まった。
615,crash course,短期集中,Give me a crash course.,短期で教えて。
616,cut to it,すぐ本題に,Let’s cut to it.,すぐ本題に入ろう。
617,dead end,行き詰まり,That lead was a dead end.,その手がかりは行き詰まりだった。
618,downplay,軽く扱う,Don’t downplay it.,軽く扱わないで。
619,drag on,長引く,The meeting dragged on.,会議が長引いた。
620,drive someone crazy,イライラさせる,That noise drives me crazy.,その音がイライラする。
621,drop the ball,ミスする,We dropped the ball.,こちらのミスだ。
622,duck out,抜ける,I’ll duck out early.,早めに抜けるね。
623,ease up,手を緩める,Ease up a bit.,少し手を緩めて。
624,face it,認めるしかない,Face it, we’re late.,認めよう、遅れてる。
625,fall through,話が流れる,The plan fell through.,計画は流れた。
626,fill the gap,穴を埋める,We need to fill the gap.,穴を埋める必要がある。
627,flip out,キレる,He flipped out.,彼はキレた。
628,follow through,やり遂げる,Follow through on it.,やり遂げて。
629,get ahead of,先回りする,Let’s get ahead of it.,先回りしよう。
630,get away with,うまく逃れる,He got away with it.,彼はうまく逃れた。
631,get in the way,邪魔になる,Don’t let it get in the way.,邪魔にさせるな。
632,get on board,賛同する,Are you on board?,賛同してる？
633,get to the bottom of,真相を突き止める,We’ll get to the bottom of it.,真相を突き止める。
634,go off,急に鳴る,My alarm went off.,目覚ましが鳴った。
635,go sideways,うまくいかない,Things went sideways.,話がうまくいかなかった。
636,hammer it out,詰めて決める,Let’s hammer it out.,詰めて決めよう。
637,hand it to you,認めるよ,I’ll hand it to you.,それは認めるよ。
638,head over,向かう,I’ll head over now.,今から向かう。
639,hit a wall,行き詰まる,I hit a wall.,行き詰まった。
640,hit it off,意気投合する,We hit it off right away.,すぐ意気投合した。
641,hold it against,根に持つ,I won’t hold it against you.,根に持たないよ。
642,iron out,調整する,We’ll iron it out.,調整しよう。
643,keep it together,踏ん張る,Try to keep it together.,踏ん張って。
644,kick in,効き始める,The meds kicked in.,薬が効いてきた。
645,knock it out,さっさと片付ける,Let’s knock it out.,さっさと片付けよう。
646,lay low,大人しくする,Lay low for a bit.,しばらく大人しくして。
647,let it slide,大目に見る,I’ll let it slide.,今回は大目に見る。
648,level with,正直に言う,I’ll level with you.,正直に言うね。
649,make a fuss,騒ぐ,Don’t make a fuss.,騒がないで。
650,make it happen,実現する,We’ll make it happen.,実現させる。
651,make the most of,最大限活かす,Make the most of it.,最大限活かして。
652,miss the mark,的外れ,That missed the mark.,それは的外れだ。
653,mull over,考え込む,Let me mull it over.,ちょっと考えさせて。
654,panic mode,パニック状態,I’m in panic mode.,パニック状態だ。
655,patch things up,仲直りする,They patched things up.,仲直りした。
656,pick it up,ペースを上げる,Pick it up.,ペース上げて。
657,piece of cake,楽勝,That test was a piece of cake.,そのテストは楽勝だった。
658,pinch hitter,代打,He’s our pinch hitter.,彼が代打だ。
659,pipe down,静かにする,Pipe down.,静かに。
660,play it by ear,臨機応変に,Let’s play it by ear.,臨機応変にいこう。
661,pull the plug,中止する,They pulled the plug.,中止した。
662,put out fires,火消しする,I’m putting out fires all day.,一日中火消ししてる。
663,put your foot down,強く言う,You need to put your foot down.,強く言わないと。
664,raise a stink,文句を言う,He raised a stink.,彼は文句を言った。
665,reach a breaking point,限界に達する,I reached a breaking point.,限界に達した。
666,read the vibe,空気を読む,Read the vibe.,空気読んで。
667,ride it out,耐える,We’ll ride it out.,耐えよう。
668,run it by you,相談する,Let me run it by you.,相談させて。
669,save your breath,言っても無駄,Save your breath.,言っても無駄だよ。
670,see it through,最後までやる,See it through.,最後までやって。
671,shake it off,振り払う,Shake it off.,振り払って。
672,shoot the breeze,雑談する,We just shot the breeze.,ただ雑談した。
673,shut it down,止める,They shut it down.,止めた。
674,sleep on it,一晩考える,Sleep on it.,一晩考えて。
675,spill it,白状する,Spill it.,白状して。
676,stand your ground,譲らない,Stand your ground.,譲るな。
677,steer clear of,避ける,Steer clear of that.,それは避けて。
678,stir the pot,波風を立てる,He’s stirring the pot.,彼は波風を立ててる。
679,stick it out,耐える,Stick it out.,耐えよう。
680,sweep through,一気に広がる,It swept through the city.,街に一気に広がった。
681,take a hard look,真剣に見直す,Take a hard look at it.,真剣に見直して。
682,take the L,負けを認める,I’ll take the L.,負けを認める。
683,talk it out,話し合う,Let’s talk it out.,話し合おう。
