id,expression,meaning,example_en,example_ja
801,ace,余裕でこなす,She aced the interview.,彼女は面接を余裕で通過した。
802,add up,辻褄が合う,That doesn’t add up.,それは辻褄が合わない。
803,backfire,裏目に出る,It backfired on him.,それは彼にとって裏目に出た。
804,ball out,派手に楽しむ,We balled out last night.,昨夜は派手に楽しんだ。
805,barely,かろうじて,I barely slept.,ほとんど寝てない。
806,beating yourself up,自分を責める,Don’t beat yourself up.,自分を責めないで。
807,better yet,それどころか,Better yet, let’s meet there.,それどころか、そこで会おう。
808,big-time,大々的に,They promoted it big-time.,彼らは大々的に宣伝した。
809,binge,一気見する,I binged the whole series.,シリーズを一気見した。
810,blow it,台無しにする,Don’t blow it.,台無しにするな。
811,blunt,率直な,He’s blunt.,彼は率直だ。
812,brag,自慢する,He loves to brag.,彼は自慢が好きだ。
813,breakdown,内訳,Give me a breakdown.,内訳を教えて。
814,bug,イラつかせる,That bugs me.,それがイラつく。
815,call dibs,先に取る,I call dibs on the window seat.,窓側の席を先に取る。
816,catch feelings,本気になる,He caught feelings.,彼は本気になった。
817,clap back,言い返す,She clapped back online.,彼女はネットで言い返した。
818,clueless,何も分からない,He’s clueless.,彼は何も分かってない。
819,come in handy,役立つ,This will come in handy.,これは役立つ。
820,come to think of it,そういえば,Come to think of it, you’re right.,そういえば君の言う通りだ。
821,cringe,痛い・恥ずかしい,That was so cringe.,それめっちゃ痛い。
822,crush,夢中になる,He has a crush on her.,彼は彼女に夢中だ。
823,cut it close,ギリギリ,We cut it close.,ギリギリだった。
824,day off,休み,I finally have a day off.,やっと休みだ。
825,deep down,心の奥では,Deep down, I knew.,心の奥では分かってた。
826,dodgy,怪しい,That guy seems dodgy.,あの人は怪しい。
827,drained,疲れ切った,I’m totally drained.,完全に疲れ切った。
828,drop a hint,ほのめかす,She dropped a hint.,彼女はほのめかした。
829,edge out,僅差で勝つ,We edged them out.,僅差で勝った。
830,every now and then,時々,Every now and then, I miss it.,時々それが恋しい。
831,facepalm,呆れる,That was a total facepalm.,あれは呆れた。
832,fake it,ごまかす,He faked it.,彼はごまかした。
833,feel it,理解できる,I feel you.,分かるよ。
834,figure,思う,I figure it’s fine.,大丈夫だと思う。
835,fire,最高,That song is fire.,その曲最高。
