id,expression,meaning,example_en,example_ja
1,figure out,理解する・解決する,I finally figured out what was wrong.,やっと何が問題だったのか分かった。
2,work out,うまくいく,Things worked out better than expected.,思ったよりうまくいった。
3,deal with,対処する,I’ll deal with it later.,後で対処するよ。
4,handle,対処する,She handled the situation well.,彼女はその状況にうまく対処した。
5,bring up,話題に出す,He brought up something interesting.,彼は面白い話題を出した。
6,point out,指摘する,She pointed out a mistake.,彼女はミスを指摘した。
7,run into,偶然会う,I ran into an old friend.,昔の友人に偶然会った。
8,end up,最終的に?になる,We ended up staying home.,結局家にいることになった。
9,mess up,失敗する,I really messed up.,本当に失敗した。
10,catch up,近況を話す,Let’s catch up soon.,近いうちに近況話そう。
11,move on,切り替える,It’s time to move on.,もう切り替えよう。
12,stick with,続ける,I’ll stick with my plan.,自分の計画を続ける。
13,give up,諦める,Don’t give up yet.,まだ諦めるな。
14,put off,先延ばしにする,He put it off again.,また先延ばしにした。
15,turn out,結果的に?だと分かる,It turned out to be true.,結果的に本当だった。
16,set up,準備する,I’ll set it up tonight.,今夜準備する。
17,calm down,落ち着く,Just calm down.,落ち着いて。
18,break down,崩れる,She broke down crying.,彼女は泣き崩れた。
19,call out,指摘する,He called out the problem.,彼は問題を指摘した。
20,back off,引く,He backed off.,彼は引いた。
21,assume,推測する,I assumed you knew.,君は知っていると思っていた。
22,guess,推測する,I guess he’s busy.,彼は忙しいと思う。
23,doubt,疑う,I doubt that.,それは疑わしい。
24,expect,予想する,I didn’t expect this.,これは予想外だった。
25,mean,意味する,What do you mean?,どういう意味？
26,agree,同意する,I agree with you.,君に同意する。
27,disagree,反対する,I disagree with that.,それには反対だ。
28,lean toward,?寄りだ,I’m leaning toward yes.,賛成寄りだ。
29,feel like,?な気がする,I feel like resting.,休みたい気分だ。
30,care about,気にかける,I care about the result.,結果を気にしている。
31,matter,重要である,It doesn’t matter.,重要じゃない。
32,depend on,次第である,It depends on timing.,タイミング次第だ。
33,prefer,好む,I prefer tea.,紅茶が好きだ。
34,mind,気にする,Do you mind?,気にする？
35,consider,検討する,I’ll consider it.,検討する。
36,decide,決める,I decided to go.,行くと決めた。
37,realize,気づく,I just realized.,今気づいた。
38,admit,認める,He admitted it.,彼は認めた。
39,suggest,提案する,I suggest waiting.,待つことを提案する。
40,recommend,勧める,I recommend this.,これおすすめ。
41,annoyed,イラついた,I’m annoyed.,イラついている。
42,frustrated,不満な,I’m frustrated.,不満だ。
43,relieved,安心した,I feel relieved.,安心した。
44,confused,混乱した,I’m confused.,混乱している。
45,excited,ワクワクした,I’m excited.,ワクワクしている。
46,bummed,落ち込んだ,He looks bummed.,彼は落ち込んでいる。
47,stressed,ストレスがある,I’m stressed.,ストレスがある。
48,overwhelmed,圧倒された,I’m overwhelmed.,手一杯だ。
49,pumped,テンション高い,I’m pumped.,テンション高い。
50,awkward,気まずい,That was awkward.,気まずかった。
51,chill,落ち着いた,He’s chill.,彼は落ち着いている。
52,fed up,うんざりした,I’m fed up.,うんざりだ。
53,burned out,燃え尽きた,I’m burned out.,燃え尽きた。
54,down,気分が落ちている,I’m feeling down.,気分が落ちている。
55,into,?にハマっている,I’m into music.,音楽にハマっている。
56,over it,もういい,I’m over it.,もういい。
57,nervous,緊張した,I’m nervous.,緊張している。
58,embarrassed,恥ずかしい,I’m embarrassed.,恥ずかしい。
59,curious,興味がある,I’m curious.,興味がある。
60,confident,自信がある,I feel confident.,自信がある。
61,vibe,雰囲気,I like the vibe.,雰囲気が好き。
62,point,要点,That’s the point.,それが要点だ。
63,thing,こと,That’s a thing.,そういうことだ。
64,stuff,いろいろ,I have stuff to do.,やることがある。
65,situation,状況,Tough situation.,厳しい状況だ。
66,context,文脈,Need more context.,文脈が必要だ。
67,perspective,視点,From my perspective…,私の視点では。
68,reason,理由,There’s a reason.,理由がある。
69,issue,問題,That’s an issue.,それは問題だ。
70,deal,状況,Big deal.,大事なことだ。
71,option,選択肢,We have options.,選択肢がある。
72,balance,バランス,Find balance.,バランスを取ろう。
73,priority,優先事項,That’s my priority.,それが最優先だ。
74,experience,経験,Great experience.,良い経験だ。
75,outcome,結果,Good outcome.,良い結果だ。
76,kind of,ちょっと,I’m kind of tired.,少し疲れている。
77,sort of,なんとなく,I sort of agree.,なんとなく同意。
78,pretty much,ほぼ,That’s pretty much it.,ほぼそれだ。
79,basically,要するに,Basically, yes.,要するにそう。
80,honestly,正直に言うと,Honestly, I don’t know.,正直分からない。
81,probably,たぶん,Probably later.,たぶん後で。
82,maybe,もしかして,Maybe tomorrow.,明日かも。
83,I guess,?かな,I guess so.,そうかな。
84,I mean,つまり,I mean, it’s fine.,つまり問題ない。
85,you know,ほら,you know what I mean?,分かるでしょ？
86,actually,実は,Actually, no.,実は違う。
87,technically,厳密には,Technically yes.,厳密にはそう。
88,apparently,どうやら,Apparently he left.,どうやら彼は出た。
89,roughly,だいたい,Roughly ten.,だいたい10だ。
90,mostly,ほとんど,Mostly done.,ほぼ終わり。
91,awesome,最高,That’s awesome.,最高だ。
92,cool,いいね,Cool, thanks.,いいね、ありがとう。
93,weird,変だ,That’s weird.,それ変だ。
94,crazy,すごい,That’s crazy.,それすごい。
95,lame,ダサい,That’s lame.,それダサい。
96,solid,しっかりした,Solid plan.,堅実な計画だ。
97,sketchy,怪しい,That’s sketchy.,それ怪しい。
98,random,唐突な,That was random.,唐突だった。
99,dope,かっこいい,That’s dope.,それかっこいい。
100,meh,微妙,Meh, okay.,微妙だな。
